year,L_largehead,L_conger,L_amber,L_halibut,L_cod,M_largeyc,M_smallyc,M_filefish,M_pomfret,M_porgie,SM_flound,SM_flatfish,S_bream,S_sandeel,I_cucumb,I_mollus,I_shell,Ce_squid,Ce_cuttl,Sr_srshim,Sr_apshrim,Cr_gcrab,Cr_bcrab,J_jell
1990,239399.8091,2907.545813,3227.937001,1425.24765,95.6513516,13964.50746,12875.57995,54535.86122,45566.98716,29262.03092,7643.773344,545.496482,0,1440.431273,807.2010036,140230.2595,4201.507631,105474.4721,36654.89931,53539.11919,116030.6883,66247.29849,8051.148057,459130.2483
1991,265427.919,4654.683943,4038.788819,1584.34316,359.3554829,13636.87607,25368.50571,46305.00755,51063.58512,22864.7653,9944.136652,364.0816776,1.465427432,2150.173865,865.3135297,143028.8703,5406.05019,177073.6614,37069.70484,49126.42169,116724.2702,71080.40296,9009.449812,482969.1126
1992,288051.9821,2805.716002,2386.934504,2064.887785,1124.892771,20476.2153,35436.31489,21827.90589,41139.21124,32538.57158,13858.42806,561.0275441,1.488787074,2270.490829,904.5621514,212945.1233,7927.682918,188628.1943,38970.64748,56568.10131,128533.5058,87430.52858,7706.577736,627115.5852
1993,279357.4459,7667.96964,2087.812375,1773.882758,2926.427478,18244.99192,41031.16144,14644.39436,61068.11253,30161.26481,9746.251685,256.8397621,0,2424.509674,895.5144338,248665.3576,13544.64405,217397.3465,62107.10823,62881.27273,137545.1445,61449.18142,7859.271643,627310.6947
1994,358697.7398,19845.15377,3041.744686,1668.450252,1037.742398,37970.07689,56512.97488,27411.79201,75917.90689,31163.46798,10939.62246,351.3451446,2.481523391,2653.503387,1191.766886,309301.7604,8263.724951,253634.4624,105943.1687,91739.73981,179082.9494,149334.8655,10975.95068,700780.9921
1995,445790.4794,30054.44704,3257.00793,1664.596309,974.6715452,36448.57435,83218.89636,23745.54962,113692.5738,31850.33501,11900.03726,418.7367815,48195.4797,3809.328168,1102.278854,371894.9452,8792.229229,298809.0024,116237.193,82516.45336,212128.4007,132399.1057,13684.94317,724717.8946
1996,468056.7173,35201.49011,4650.278928,2632.469161,1414.068707,42526.70247,134616.2129,41691.16892,117039.094,29832.22139,20525.76084,1690.650593,51361.77272,3412.859988,1525.910387,276296.0462,9554.866859,443987.3036,88330.08671,86605.92814,234976.4067,150501.5229,27237.42249,951306.2732
1997,407887.0357,30572.75475,5765.363792,1513.598146,1558.445648,36665.3245,74786.55121,49086.99496,127143.262,37239.36766,17188.65633,1160.522338,47380.93818,3454.867461,1566.279865,446554.9407,11907.11811,328688.8558,123671.7951,91709.45705,251654.498,124727.8106,23979.26813,903753.2106
1998,473385,40169.07521,11370.20861,2366.232604,3197.521154,33974.68837,91840.27818,39453.74743,145147.3461,35876.34144,23798.24849,524.7694021,47988.83823,2456.600906,1215.06635,408725.756,12315.31808,368205.9976,106248.8532,84117.55687,273673.3014,127704.1906,23080.84802,866409.457
1999,399118.8363,29145.02047,7280.935372,1412.769039,2086.751981,26237.93043,96917.75704,29878.83013,134718.9734,31155.74765,16466.0377,461.2448519,32947.06358,1540.778924,741.8400478,345503.5199,8603.249658,299628.9739,84031.56881,159788.062,230969.2026,107752.8401,20960.94241,750851.404
2000,371202.2999,21129.28605,3333.06542,1112.637335,2320.254185,48021.04356,110060.6413,21244.07813,132366.2903,41323.37051,10678.41046,299.9235066,30579.66632,0,808.762786,333396.7584,11958.74614,232220.6235,99987.59943,122048.9944,244239.147,130893.692,21911.39038,676967.2681
2001,437187.0402,32193.6171,4794.715738,1264.027762,3759.645842,33333.95593,107182.2437,26632.86951,154010.2296,54915.18554,10739.42276,468.6544547,41464.7921,132.4909387,527.978783,377974.6074,11735.20842,228528.1401,135494.9248,106694.7214,247251.2273,145730.3391,25959.04241,671245.9144
2002,407240.2142,31320.78927,3611.598816,1224.475817,2386.923001,36018.50447,112898.329,19283.99698,167454.2639,51398.34361,9285.048242,351.2111816,41562.06543,1.808274821,482.3546078,374827.9929,8545.725453,220625.4023,128667.0476,101315.6006,250817.3163,150460.3879,26866.41279,660155.7972
